Rank,Metro,New housing units authorized per 1k existing homes (2024),New housing units authorized per 1k existing homes (2022),Total new housing units authorized (2024),Total new housing units authorized (2022),Percentage change in housing units authorized (2022–2024),Median home price,Population
220,"Harrisburg-Carlisle, PA",6.2,10.5,"1,643","2,711",-39.4%,"$300,493","597,894"
221,"South Bend-Mishawaka, IN-MI",6.2,5.1,892,742,+20.2%,"$227,929","324,180"
222,"Sebastian-Vero Beach-West Vero Corridor, FL",6.2,13.7,557,"1,183",-52.9%,"$371,448","163,856"
223,"Shreveport-Bossier City, LA",6.1,5.0,"1,118",915,+22.2%,"$177,745","389,004"
224,"Miami-Fort Lauderdale-West Palm Beach, FL",6.0,7.4,"16,352","19,721",-17.1%,"$482,204","6,138,876"
225,"Tyler, TX",6.0,8.3,608,830,-26.7%,"$275,240","238,014"
226,"Kingston, NY",6.0,5.2,521,446,+16.8%,"$426,360","182,109"
227,"Elkhart-Goshen, IN",6.0,4.8,484,387,+25.1%,"$252,157","206,868"
228,"Duluth, MN-WI",5.9,5.3,858,756,+13.5%,"$253,239","280,710"
229,"Bangor, ME",5.9,5.5,450,415,+8.4%,"$274,230","153,571"
230,"Manhattan, KS",5.9,5.3,336,301,+11.6%,"$256,851","133,413"
231,"Salisbury, MD",5.9,89.5,326,"4,919",-93.4%,"$427,543","128,802"
232,"Michigan City-La Porte, IN",5.9,6.4,296,322,-8.1%,"$250,204","112,141"
233,"Blacksburg-Christiansburg-Radford, VA",5.8,6.0,481,500,-3.8%,"$281,850","181,605"
234,"Bismarck, ND",5.8,10.1,352,610,-42.3%,"$341,676","134,286"
235,"Virginia Beach-Chesapeake-Norfolk, VA-NC",5.7,8.3,"4,406","6,313",-30.2%,"$363,937","1,782,590"
236,"Milwaukee-Waukesha, WI",5.7,4.5,"4,058","3,172",+27.9%,"$374,133","1,566,361"
237,"Evansville, IN",5.7,9.6,713,"1,186",-39.9%,"$218,817","269,721"
238,"Albany, OR",5.7,6.1,309,327,-5.5%,"$410,105","129,794"
239,"San Jose-Sunnyvale-Santa Clara, CA",5.6,13.1,"4,115","9,428",-56.4%,"$1,649,985","1,969,353"
240,"Albany-Schenectady-Troy, NY",5.6,6.2,"2,366","2,635",-10.2%,"$352,791","902,372"
241,"Macon-Bibb County, GA",5.6,5.9,591,622,-5.0%,"$194,881","234,040"
242,"Merced, CA",5.6,8.0,520,730,-28.8%,"$420,298","285,597"
243,"Muskegon-Norton Shores, MI",5.6,7.3,423,548,-22.8%,"$241,341","175,378"
244,"Great Falls, MT",5.6,13.8,223,543,-58.9%,"$334,068","84,601"
245,"Los Angeles-Long Beach-Anaheim, CA",5.5,6.9,"26,781","32,873",-18.5%,"$973,190","13,012,469"
246,"St. Louis, MO-IL",5.5,7.2,"7,017","9,130",-23.1%,"$269,589","2,809,414"
247,"Dayton-Kettering-Beavercreek, OH",5.5,6.1,"2,056","2,265",-9.2%,N/A,"813,608"
248,"Oxnard-Thousand Oaks-Ventura, CA",5.5,4.6,"1,648","1,368",+20.5%,"$893,472","838,259"
249,"Davenport-Moline-Rock Island, IA-IL",5.5,3.4,965,597,+61.6%,"$187,861","381,864"
250,"Champaign-Urbana, IL",5.5,8.5,611,920,-33.6%,"$224,340","236,196"
251,"Yakima, WA",5.5,7.6,515,706,-27.1%,"$350,226","256,605"
252,"Jackson, TN",5.5,5.7,443,456,-2.9%,"$206,887","180,844"
253,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5.4,5.5,"14,214","14,371",-1.1%,"$382,466","6,241,882"
254,"Boston-Cambridge-Newton, MA-NH",5.4,6.6,"11,235","13,595",-17.4%,"$733,270","4,917,661"
255,"Fort Smith, AR-OK",5.4,7.2,553,732,-24.5%,"$197,153","228,916"
256,"State College, PA",5.4,9.8,367,654,-43.9%,"$346,638","158,041"
257,"Sheboygan, WI",5.4,2.8,292,146,+100.0%,"$314,378","117,783"
258,"Columbus, IN",5.4,5.9,195,209,-6.7%,"$272,287","82,881"
259,"Lancaster, PA",5.3,6.5,"1,184","1,429",-17.1%,"$373,585","555,151"
260,"Lebanon, PA",5.3,6.1,324,364,-11.0%,"$306,944","143,592"
261,"Baltimore-Columbia-Towson, MD",5.2,5.5,"6,284","6,588",-4.6%,"$402,127","2,839,409"
262,"Beaumont-Port Arthur, TX",5.2,7.9,915,"1,368",-33.1%,"$173,726","396,058"
263,"Jackson, MS",5.1,4.5,"1,398","1,234",+13.3%,"$205,582","615,908"
264,"Tuscaloosa, AL",5.1,8.3,649,"1,043",-37.8%,"$220,538","275,217"
265,"Glens Falls, NY",5.1,4.2,355,292,+21.6%,"$295,819","126,443"
266,"Bridgeport-Stamford-Danbury, CT",5.0,4.9,"1,912","1,831",+4.4%,"$661,547","947,528"
267,"Ames, IA",5.0,6.1,273,328,-16.8%,"$261,122","125,261"
268,"Grants Pass, OR",5.0,8.5,202,338,-40.2%,"$394,901","88,069"
269,"Kingsport-Bristol, TN-VA",4.9,6.3,739,939,-21.3%,"$242,587","309,580"
270,"Santa Rosa-Petaluma, CA",4.8,10.9,"1,012","2,264",-55.3%,"$813,422","485,642"
271,"Modesto, CA",4.8,3.6,902,674,+33.8%,"$471,378","552,250"
272,"Manchester-Nashua, NH",4.8,4.7,872,844,+3.3%,"$518,110","424,732"
273,"Jackson, MI",4.8,2.0,334,141,+136.9%,"$219,526","160,187"
274,"Kokomo, IN",4.8,4.1,194,164,+18.3%,"$185,030","83,610"
275,"Owensboro, KY",4.7,5.1,230,247,-6.9%,"$199,602","112,322"
276,"Chicago-Naperville-Elgin, IL-IN",4.6,4.5,"18,064","17,635",+2.4%,"$341,695","9,359,555"
277,"Pittsburgh, PA",4.6,5.0,"5,412","5,867",-7.8%,"$226,889","2,443,921"
